"Name","eval/accuracy","eval/recall","eval/f1","eval/precision","train/loss","epochs","learning_rate","batch_size"
"eager-sweep-17","0.8676470588235294","0.942652329749104","0.906896551724138","0.8737541528239202","0.07141964435577393","5","0.00005","64"
"vital-sweep-5","0.8602941176470589","0.92831541218638","0.9008695652173913","0.875","0.08302561044692994","3","0.00005","32"
"fanciful-sweep-14","0.8602941176470589","0.9390681003584228","0.9018932874354562","0.8675496688741722","0.15888826847076415","3","0.00005","64"
"crisp-sweep-8","0.8455882352941176","0.92831541218638","0.891566265060241","0.8576158940397351","0.023003214597702028","5","0.00005","32"
"rural-sweep-23","0.8333333333333334","0.946236559139785","0.8859060402684564","0.832807570977918","0.23078482151031493","3","0.00005","128"
"magic-sweep-26","0.8284313725490197","0.92831541218638","0.8809523809523809","0.8381877022653722","0.07913314700126647","5","0.00005","128"
"polished-sweep-2","0.7965686274509803","0.992831541218638","0.869701726844584","0.7737430167597765","0.4841054916381836","1","0.00005","32"
"clean-sweep-9","0.7843137254901961","0.921146953405018","0.8538205980066446","0.7956656346749226","0.4155150890350342","5","0.000005","32"
"dry-sweep-11","0.7671568627450981","0.949820788530466","0.848","0.7658959537572254","0.5239289760589599","1","0.00005","64"
"distinctive-sweep-18","0.7647058823529411","0.946236559139785","0.8461538461538461","0.7652173913043478","0.49799489974975586","5","0.000005","64"
"cosmic-sweep-6","0.7622549019607843","0.942652329749104","0.8443017656500803","0.7645348837209303","0.5100675106048584","3","0.000005","32"
"desert-sweep-15","0.7303921568627451","0.946236559139785","0.8275862068965517","0.7353760445682451","0.5630927085876465","3","0.000005","64"
"devout-sweep-24","0.7132352941176471","0.978494623655914","0.8235294117647058","0.7109375","0.5836811542510987","3","0.000005","128"
"graceful-sweep-20","0.7058823529411765","0.971326164874552","0.8187311178247734","0.7075718015665796","0.5603278160095215","1","0.00005","128"
"bumbling-sweep-27","0.6862745098039216","1","0.8134110787172012","0.6855036855036855","0.5550220012664795","5","0.000005","128"
"zany-sweep-10","0.6838235294117647","1","0.8122270742358079","0.6838235294117647","0.6508052349090576","1","0.0005","64"
"ruby-sweep-22","0.6838235294117647","1","0.8122270742358079","0.6838235294117647","0.6323361873626709","3","0.0005","128"
"glad-sweep-19","0.6838235294117647","1","0.8122270742358079","0.6838235294117647","0.6427445411682129","1","0.0005","128"
"golden-sweep-21","0.6838235294117647","1","0.8122270742358079","0.6838235294117647","0.6396331787109375","1","0.000005","128"
"distinctive-sweep-12","0.6838235294117647","1","0.8122270742358079","0.6838235294117647","0.6182559490203857","1","0.000005","64"
"polished-sweep-25","0.6838235294117647","1","0.8122270742358079","0.6838235294117647","0.6434904575347901","5","0.0005","128"
"pious-sweep-4","0.6838235294117647","1","0.8122270742358079","0.6838235294117647","0.6434463500976563","3","0.0005","32"
"ethereal-sweep-3","0.6838235294117647","1","0.8122270742358079","0.6838235294117647","0.5882534980773926","1","0.000005","32"
"autumn-sweep-1","0.6838235294117647","1","0.8122270742358079","0.6838235294117647","0.6220130443572998","1","0.0005","32"
"serene-sweep-13","0.6838235294117647","1","0.8122270742358079","0.6838235294117647","0.6365840911865235","3","0.0005","64"
"distinctive-sweep-7","0.6838235294117647","1","0.8122270742358079","0.6838235294117647","0.6403969287872314","5","0.0005","32"
"icy-sweep-16","0.6838235294117647","1","0.8122270742358079","0.6838235294117647","0.6310925960540772","5","0.0005","64"
